 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> novembre 08, 2021 
 ==================================================================

 Disk File Name = SRIM Outputs\Strontium in  O- U.txt

 Ion = Strontium [38] , Mass = 92 amu

 Target Density =  6,0000E+00 g/cm3 = 5,1065E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      O      8    075,00    016,78   
      U     92    025,00    083,22   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1,10 MeV   1,020E+00  1,654E+00    4638 A      2202 A      1639 A   
   1,20 MeV   1,087E+00  1,601E+00    5078 A      2377 A      1780 A   
   1,30 MeV   1,150E+00  1,552E+00    5520 A      2547 A      1920 A   
   1,40 MeV   1,210E+00  1,506E+00    5963 A      2714 A      2059 A   
   1,50 MeV   1,268E+00  1,464E+00    6407 A      2878 A      2197 A   
   1,60 MeV   1,324E+00  1,424E+00    6851 A      3038 A      2333 A   
   1,70 MeV   1,379E+00  1,387E+00    7295 A      3194 A      2467 A   
   1,80 MeV   1,433E+00  1,353E+00    7740 A      3347 A      2601 A   
   2,00 MeV   1,537E+00  1,289E+00    8627 A      3642 A      2863 A   
   2,25 MeV   1,665E+00  1,219E+00    9732 A      3993 A      3183 A   
   2,50 MeV   1,793E+00  1,157E+00    1,08 um     4324 A      3493 A   
   2,75 MeV   1,921E+00  1,103E+00    1,19 um     4635 A      3793 A   
   3,00 MeV   2,052E+00  1,054E+00    1,30 um     4928 A      4081 A   
   3,25 MeV   2,185E+00  1,010E+00    1,40 um     5203 A      4359 A   
   3,50 MeV   2,320E+00  9,706E-01    1,50 um     5461 A      4626 A   
   3,75 MeV   2,459E+00  9,343E-01    1,60 um     5702 A      4882 A   
   4,00 MeV   2,600E+00  9,012E-01    1,70 um     5928 A      5127 A   
   4,50 MeV   2,891E+00  8,425E-01    1,89 um     6338 A      5586 A   
   5,00 MeV   3,190E+00  7,921E-01    2,07 um     6698 A      6004 A   
   5,50 MeV   3,497E+00  7,482E-01    2,24 um     7014 A      6386 A   
   6,00 MeV   3,810E+00  7,096E-01    2,40 um     7292 A      6733 A   
   6,50 MeV   4,125E+00  6,754E-01    2,56 um     7538 A      7050 A   
   7,00 MeV   4,443E+00  6,448E-01    2,71 um     7756 A      7339 A   
   8,00 MeV   5,075E+00  5,923E-01    2,98 um     8128 A      7847 A   
   9,00 MeV   5,697E+00  5,487E-01    3,23 um     8428 A      8278 A   
  10,00 MeV   6,300E+00  5,118E-01    3,46 um     8677 A      8647 A   
  11,00 MeV   6,879E+00  4,802E-01    3,67 um     8885 A      8968 A   
  12,00 MeV   7,431E+00  4,527E-01    3,87 um     9062 A      9250 A   
  13,00 MeV   7,954E+00  4,286E-01    4,06 um     9215 A      9500 A   
  14,00 MeV   8,446E+00  4,072E-01    4,24 um     9349 A      9724 A   
  15,00 MeV   8,909E+00  3,881E-01    4,41 um     9467 A      9926 A   
  16,00 MeV   9,342E+00  3,709E-01    4,58 um     9572 A      1,01 um  
  17,00 MeV   9,747E+00  3,553E-01    4,74 um     9667 A      1,03 um  
  18,00 MeV   1,013E+01  3,412E-01    4,89 um     9753 A      1,04 um  
  20,00 MeV   1,081E+01  3,164E-01    5,19 um     9908 A      1,07 um  
  22,50 MeV   1,155E+01  2,905E-01    5,53 um     1,01 um     1,10 um  
  25,00 MeV   1,219E+01  2,689E-01    5,86 um     1,02 um     1,13 um  
  27,50 MeV   1,274E+01  2,506E-01    6,18 um     1,03 um     1,15 um  
  30,00 MeV   1,324E+01  2,349E-01    6,49 um     1,04 um     1,17 um  
  32,50 MeV   1,368E+01  2,213E-01    6,78 um     1,05 um     1,19 um  
  35,00 MeV   1,408E+01  2,092E-01    7,07 um     1,06 um     1,21 um  
  37,50 MeV   1,445E+01  1,986E-01    7,35 um     1,07 um     1,22 um  
  40,00 MeV   1,480E+01  1,891E-01    7,63 um     1,08 um     1,24 um  
  45,00 MeV   1,544E+01  1,727E-01    8,16 um     1,09 um     1,26 um  
  50,00 MeV   1,602E+01  1,593E-01    8,68 um     1,10 um     1,29 um  
  55,00 MeV   1,656E+01  1,479E-01    9,18 um     1,11 um     1,31 um  
  60,00 MeV   1,705E+01  1,382E-01    9,66 um     1,12 um     1,33 um  
  65,00 MeV   1,752E+01  1,298E-01   10,14 um     1,13 um     1,35 um  
  70,00 MeV   1,796E+01  1,224E-01   10,60 um     1,14 um     1,36 um  
  80,00 MeV   1,875E+01  1,101E-01   11,49 um     1,16 um     1,39 um  
  90,00 MeV   1,946E+01  1,002E-01   12,35 um     1,17 um     1,42 um  
 100,00 MeV   2,008E+01  9,210E-02   13,18 um     1,19 um     1,44 um  
 110,00 MeV   2,064E+01  8,529E-02   13,99 um     1,20 um     1,46 um  
 120,00 MeV   2,113E+01  7,949E-02   14,78 um     1,21 um     1,48 um  
 130,00 MeV   2,157E+01  7,448E-02   15,56 um     1,22 um     1,50 um  
 140,00 MeV   2,196E+01  7,011E-02   16,32 um     1,23 um     1,52 um  
 150,00 MeV   2,230E+01  6,627E-02   17,06 um     1,24 um     1,53 um  
 160,00 MeV   2,261E+01  6,285E-02   17,80 um     1,25 um     1,55 um  
 170,00 MeV   2,288E+01  5,980E-02   18,53 um     1,26 um     1,56 um  
 180,00 MeV   2,311E+01  5,705E-02   19,25 um     1,27 um     1,57 um  
 200,00 MeV   2,364E+01  5,229E-02   20,67 um     1,29 um     1,60 um  
 225,00 MeV   2,398E+01  4,742E-02   22,41 um     1,32 um     1,63 um  
 250,00 MeV   2,421E+01  4,344E-02   24,13 um     1,35 um     1,66 um  
 275,00 MeV   2,435E+01  4,012E-02   25,84 um     1,38 um     1,68 um  
 300,00 MeV   2,441E+01  3,729E-02   27,54 um     1,41 um     1,71 um  
 325,00 MeV   2,442E+01  3,487E-02   29,24 um     1,44 um     1,73 um  
 350,00 MeV   2,439E+01  3,276E-02   30,95 um     1,46 um     1,75 um  
 375,00 MeV   2,432E+01  3,091E-02   32,65 um     1,49 um     1,77 um  
 400,00 MeV   2,422E+01  2,926E-02   34,36 um     1,51 um     1,79 um  
 450,00 MeV   2,396E+01  2,648E-02   37,82 um     1,60 um     1,83 um  
 500,00 MeV   2,363E+01  2,421E-02   41,31 um     1,69 um     1,87 um  
 550,00 MeV   2,327E+01  2,232E-02   44,86 um     1,77 um     1,91 um  
 600,00 MeV   2,288E+01  2,072E-02   48,46 um     1,85 um     1,95 um  
 650,00 MeV   2,247E+01  1,935E-02   52,13 um     1,93 um     1,99 um  
 700,00 MeV   2,207E+01  1,816E-02   55,87 um     2,01 um     2,02 um  
 800,00 MeV   2,125E+01  1,619E-02   63,56 um     2,30 um     2,10 um  
 900,00 MeV   2,046E+01  1,462E-02   71,54 um     2,57 um     2,17 um  
   1,00 GeV   1,971E+01  1,335E-02   79,83 um     2,84 um     2,25 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  5,9998E+01                 eV / Angstrom 
  5,9998E+02                keV / micron   
  5,9998E+02                MeV / mm       
  1,0000E+00                keV / (ug/cm2) 
  1,0000E+00                MeV / (mg/cm2) 
  1,0000E+03                keV / (mg/cm2) 
  1,1749E+02                 eV / (1E15 atoms/cm2)
  1,0152E-01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
